source,target,time,type
38028,81190,322,r
86363,28229,322,m
86363,105108,322,m
74567,47738,322,m
74567,12299,322,m
108975,81204,323,r
112042,77438,323,r
99392,76846,324,r
80427,59328,327,m
53046,77640,330,r
102582,75829,331,r
17533,73108,332,r
82547,59335,332,m
82547,8985,332,m
3318,100678,332,m
3318,107865,332,m
3318,4340,332,m
3318,76220,332,m
3318,48472,332,m
3318,43105,332,m
110264,79385,333,r
44071,81510,333,r
86933,86881,334,r
113070,88015,336,m
116333,115053,337,m
116333,98674,337,m
109596,85032,337,r
116333,84417,337,m
84509,59328,339,m
69947,76846,341,r
38040,84473,341,r
114567,76439,343,r
15859,76816,345,r
14334,86881,345,r
97635,76846,347,r
88590,82579,347,m
77386,76439,349,r
25988,79537,350,r
13452,76846,353,r
50351,75014,355,r
5202,84336,356,r
59856,82579,359,m
59856,59714,359,m
100979,86881,361,r
45808,81510,361,r
28229,84336,364,r
78765,46070,364,m
7202,81204,366,r
65234,76816,367,r
45808,81510,367,r
18062,31537,370,m
18062,74942,370,m
62752,77412,370,r
8344,74613,371,m
114682,87844,372,m
12937,81677,373,m
39913,81733,373,r
72501,81510,374,r
36441,77474,375,m
53075,81510,379,r
7202,84336,379,r
108722,85732,381,m
74762,99778,381,m
74762,57128,381,m
100744,87177,384,r
17533,105691,386,r
103001,79537,387,m
109251,84419,388,m
18144,75153,389,m
77582,100744,390,m
17403,76812,396,r
7910,81733,396,r
35197,77160,397,r
81870,87357,398,r
76154,55093,398,m
27760,75860,401,m
28229,74942,404,r
43509,85235,406,m
43509,114452,406,m
43509,21051,406,m
30205,75014,408,r
112029,81204,410,r
12831,74779,413,r
1550,85732,413,m
52724,84419,414,m
52724,56074,414,m
55121,13358,415,m
55121,5659,415,m
55121,79537,415,m
49468,79697,418,r
7910,81733,419,r
65978,76846,423,r
18018,81510,424,r
112752,87357,426,r
15039,77582,426,r
38596,85452,427,r
88167,7799,429,m
88167,21975,429,m
88167,21071,429,m
88167,28855,429,m
101163,75153,429,m
80601,76846,429,r
7910,81733,430,r
18018,81510,431,r
10619,74567,431,r
29637,81208,432,r
84824,74793,434,r
84824,74793,434,r
4050,76812,434,r
7910,81733,434,r
81035,76846,435,r
85413,81510,436,r
93776,23220,436,m
93776,23220,436,m
93776,79519,436,m
115225,87357,439,r
2606,75860,440,m
18300,77582,441,r
17533,110390,441,r
36337,85452,443,r
12456,84336,443,r
115225,87357,446,r
1736,88654,448,r
103121,77653,448,m
1344,76846,448,r
21765,81733,452,r
86363,28229,452,m
86363,105108,452,m
72035,77474,454,m
72035,9042,454,m
54431,84336,456,r
4817,81510,457,r
6525,82573,458,r
12763,86363,462,r
44798,81510,462,r
6735,82573,463,r
73941,85235,465,m
73941,59235,465,m
73941,103265,465,m
88221,81510,467,r
35061,86212,467,m
35061,33219,467,m
67592,84496,472,r
28229,86363,474,r
82573,24208,476,m
18663,81510,477,r
74567,55787,477,m
28229,79385,480,r
21681,85732,481,m
88221,76816,482,r
111174,81489,483,m
111174,67113,483,m
111174,67675,483,m
17533,105348,483,r
73308,77187,486,r
83775,76846,486,r
113707,81510,488,r
106446,87357,488,r
32764,76846,489,r
80988,78499,492,m
80988,92932,492,m
80988,19445,492,m
80988,49902,492,m
80988,103878,492,m
80988,42626,492,m
80988,111564,492,m
80988,96174,492,m
80988,64853,492,m
85556,99083,493,m
106593,76846,493,r
114768,81510,495,r
106901,30906,499,m
28229,86363,499,r
106901,79150,499,m
75042,79677,500,m
51630,81510,501,r
5785,75014,512,r
19828,81510,513,r
20365,76816,514,r
17533,66957,515,r
28229,86363,516,r
93504,75860,518,m
84496,20584,520,m
84496,44037,520,m
12560,88218,521,r
44071,81510,523,r
23155,86655,524,m
23155,75386,524,m
23155,60066,524,m
82293,82579,527,m
11063,85452,527,r
55093,76154,528,m
13407,79850,530,m
101024,74778,531,m
44071,81510,531,r
101024,75860,531,m
101123,80622,531,r
13818,81733,531,r
103068,75386,534,m
8469,81510,539,r
101045,77187,540,r
6219,76084,543,r
44798,88218,544,r
93562,75860,544,m
44071,81510,544,r
93562,39909,544,m
53831,86409,545,r
58649,32736,546,r
39388,85452,549,r
71427,82579,551,m
71427,6524,551,m
43022,81510,554,r
99674,86363,555,r
85371,75860,556,m
85371,58212,556,m
74942,103265,560,m
44071,81510,560,r
74942,62711,560,m
74942,41488,560,m
74942,48558,560,m
95549,88693,561,r
7840,87357,562,r
61144,88693,562,r
47619,85732,566,m
53474,88218,568,r
44071,81510,568,r
28229,86363,570,r
50227,81733,571,r
16255,88218,574,r
72931,79385,576,r
28229,86363,576,r
28229,86363,581,r
44071,81510,587,r
84509,59328,589,m
44071,81510,589,r
75860,88218,589,r
35411,74901,590,m
35411,100426,590,m
16625,75860,595,m
16625,49028,595,m
110513,76816,595,r
110959,84336,599,r
85058,91182,602,m
58658,76846,604,r
114037,81281,604,r
64834,88405,604,r
114037,82687,605,r
44071,81510,605,r
75793,42049,605,m
114037,80039,605,r
114037,81281,605,r
64834,88405,605,r
114037,80641,605,r
68890,75120,605,r
114037,80679,605,r
114037,0,605,r
114037,74793,605,r
89990,88430,605,m
114037,87279,605,r
110513,88218,606,r
94054,84825,606,r
114037,75633,606,r
114037,82687,606,r
114037,80641,606,r
114037,75120,606,r
114037,0,606,r
114037,87279,606,r
68890,87475,606,r
114037,75633,607,r
114037,74793,607,r
114037,74614,607,r
114037,75120,607,r
77589,87475,607,r
44211,80622,607,r
114037,80039,607,r
114037,80679,607,r
114037,84326,607,r
114037,84326,608,r
94054,88250,608,r
114037,75629,608,r
114037,75629,608,r
114037,88067,608,r
114037,87475,608,r
114037,74614,608,r
114037,87475,608,r
70947,85452,608,r
114037,88067,609,r
44071,81510,610,r
76220,48472,614,m
17729,75153,614,m
76220,107865,614,m
76220,100678,614,m
76220,4340,614,m
76220,43105,614,m
76220,3318,614,m
16305,80612,614,m
48743,80050,616,r
48743,75409,616,r
13373,75014,616,r
48743,84332,616,r
32616,88218,617,r
95100,65301,617,r
59687,88659,619,r
54414,86363,623,r
51864,85452,624,r
43883,81510,626,r
78957,82825,626,r
53803,45822,629,m
53803,77474,629,m
32616,88218,630,r
56690,81510,631,r
54099,78415,634,r
111054,86363,634,r
74638,75014,634,r
44810,76816,635,r
9682,76812,635,r
74567,35837,641,m
87724,77187,641,r
88467,75860,643,m
31002,87230,644,r
43455,76816,644,r
86747,76446,645,m
54414,86363,645,r
40112,75014,645,r
57738,82573,649,r
54414,86363,657,r
58212,75860,658,m
58212,32616,658,m
83466,85039,658,m
83466,75531,658,m
49649,74780,660,r
26969,87230,661,r
56588,75014,662,r
39897,82579,665,m
22277,82573,665,r
13841,76812,667,r
109518,87230,669,r
816,88693,669,r
23112,81208,669,r
80330,81098,670,r
23112,81208,672,r
54414,86363,674,r
76220,100678,675,m
76220,107865,675,m
76220,48472,675,m
76220,4340,675,m
76220,43105,675,m
76220,3318,675,m
11253,86231,676,r
62875,88659,676,r
13973,86231,679,r
47190,80184,679,r
23513,86363,680,r
74674,75098,682,r
115796,80184,686,r
15269,84336,686,r
80724,87230,686,r
31474,77582,689,r
76220,3318,691,m
76220,43105,691,m
76220,4340,691,m
76220,48472,691,m
76220,100678,691,m
76220,107865,691,m
41488,103265,692,m
41488,48558,692,m
41488,74942,692,m
55226,80622,692,r
41488,62711,692,m
17152,110898,693,r
49147,76816,694,r
35138,86231,695,r
70599,84473,695,r
17403,76812,696,r
79672,81510,697,r
44798,77582,701,r
79672,81510,703,r
44798,84336,706,r
42463,86231,707,r
28229,77582,708,r
68013,97863,711,m
68013,56818,711,m
68013,105826,711,m
68013,12299,711,m
68013,54308,711,m
68013,74826,711,m
68013,87935,711,m
60421,78090,711,r
68013,4817,711,m
40205,81510,712,r
49502,84336,713,r
7774,84859,716,r
30075,78053,720,m
11907,87128,720,r
17403,76812,726,r
18209,85452,729,r
84509,59328,729,m
31123,76812,731,r
21014,75098,732,r
104373,85235,733,m
104373,59235,733,m
22099,87128,734,r
85058,77572,737,m
35543,78010,739,r
83051,77187,741,r
17533,104296,741,r
73207,82573,741,r
6641,82573,746,r
18826,75014,746,r
106742,78090,746,r
12193,80988,747,r
39897,82579,750,m
73207,82573,750,r
106742,78090,751,r
3318,100678,751,m
3318,107865,751,m
3318,4340,751,m
3318,43105,751,m
3318,76220,751,m
3318,48472,751,m
80277,49963,752,m
16052,85452,753,r
9224,84336,754,r
48290,86381,759,m
102485,84859,764,r
104486,77160,765,r
115712,81208,766,r
76220,107865,769,m
76220,48472,769,m
76220,100678,769,m
76220,43105,769,m
76220,3318,769,m
76220,4340,769,m
22991,82573,770,r
68202,77018,771,r
10278,88304,777,m
75936,104561,777,m
41785,87230,780,r
42247,82573,781,r
46468,81733,783,r
39808,77018,784,r
116333,84417,784,m
116333,115053,784,m
116333,38682,784,m
116333,98674,784,m
48735,82573,787,r
38345,77018,787,r
8280,88430,789,m
108566,77018,791,r
16833,79697,792,r
77473,80184,792,r
112722,75014,795,r
6735,82573,796,r
69970,77018,798,r
11144,79537,800,r
35681,88693,803,r
27712,81231,806,r
84336,45808,806,m
48941,87273,807,r
116075,81733,808,r
31063,87273,811,r
17533,3601,811,r
25162,81231,811,r
4990,84332,814,r
4990,75409,814,r
4990,80050,814,r
85103,10922,818,m
24950,74045,818,r
85103,26526,818,m
85103,97863,818,m
85103,32618,818,m
85103,54865,818,m
85103,30075,818,m
110513,84336,819,r
9574,87273,820,r
39291,79537,824,r
84605,82907,828,m
7507,86380,831,r
97459,76771,832,r
38906,82573,833,r
58760,87273,835,r
14140,82573,837,r
104330,86380,838,r
76084,53915,842,m
90048,87273,842,r
79156,30201,842,m
76220,100678,846,m
93789,77018,846,r
87724,77187,846,r
76220,3318,846,m
76220,43105,846,m
76220,4340,846,m
76220,48472,846,m
76220,107865,846,m
38799,73209,847,m
38799,3870,847,m
38799,59929,847,m
38799,48458,847,m
38799,80547,847,m
38799,108841,847,m
38799,101852,847,m
38799,46864,847,m
38799,81190,847,m
17533,64113,847,r
85978,87944,847,r
19234,77187,849,r
93846,76771,852,r
84824,74793,853,r
84824,74793,854,r
59824,87273,856,r
69100,86380,858,r
32747,76771,858,r
84336,89726,859,m
53823,77187,860,r
37780,75018,861,r
56710,76771,864,r
64803,82907,870,r
16708,80988,870,r
99452,82825,870,r
49800,76771,871,r
54432,84336,871,r
16625,49028,873,m
16625,75860,873,m
47714,86245,874,r
34173,81733,874,r
104972,82573,874,r
54148,84336,875,r
56556,86380,877,r
39289,82573,877,r
93452,84336,880,r
17533,81331,881,r
97580,85255,884,r
107230,80988,886,r
58651,63132,888,r
87377,77187,891,r
4814,79385,891,r
27405,88430,892,m
93214,96379,893,m
93214,66231,893,m
93214,116198,893,m
93214,49862,893,m
93214,32951,893,m
93214,112690,893,m
93214,85396,893,m
93214,49161,893,m
68202,77018,896,r
36425,80988,899,r
85103,44798,900,m
85103,10922,900,m
85103,42503,900,m
85103,32618,900,m
76084,46835,902,m
12188,81733,902,r
78147,16686,902,m
16837,77187,904,r
64906,80988,905,r
78493,82907,909,r
56579,81733,909,r
89236,86380,910,r
36425,80988,910,r
95557,75153,911,m
51635,13052,915,m
51635,75860,915,m
51635,20499,915,m
22519,84419,918,m
11993,85255,920,r
106695,82907,921,m
105133,86380,925,r
17533,106808,926,r
16837,77187,926,r
57847,77018,928,r
50517,86380,932,r
91177,85255,933,r
88175,77582,933,r
8049,84336,933,r
6331,59688,933,m
6331,86212,933,m
16686,78147,934,m
21440,78834,936,m
21440,108571,936,m
21440,106211,936,m
21440,112470,936,m
11784,77018,936,r
3318,107865,938,m
3318,100678,938,m
3318,48472,938,m
3318,76220,938,m
3318,43105,938,m
3318,4340,938,m
46308,74613,940,m
110040,77187,941,r
37434,77582,941,r
105827,77412,941,r
65757,16686,942,m
65757,78147,942,m
71603,85235,943,m
71603,93004,943,m
112260,75153,946,m
10285,85255,947,r
85103,32616,949,m
85103,90092,949,m
85103,4817,949,m
85103,10922,949,m
85103,663,949,m
85103,30328,949,m
85103,71547,949,m
54282,85137,950,r
39870,77187,956,r
58651,67654,957,r
39280,86381,958,m
77646,85058,960,r
13738,85255,961,r
30075,10922,961,m
30075,26526,961,m
30075,97863,961,m
30075,85103,961,m
30075,54865,961,m
92425,75018,961,r
30075,32618,961,m
16255,74567,964,r
60661,88430,965,m
4896,82825,967,r
42222,10883,968,m
42222,50034,968,m
42222,75860,968,m
81642,81733,969,r
42495,74779,971,r
26322,85255,972,r
50849,81733,972,r
29029,76446,975,m
64301,84336,977,r
19760,85255,978,r
74610,79715,979,r
51095,75014,982,r
110478,75860,982,m
110478,90092,982,m
74345,58115,985,m
74345,58115,985,m
114567,87944,992,r
37360,78834,992,r
27120,75153,994,m
78147,16686,995,m
52767,77582,995,r
29217,81733,999,r
80476,77582,1004,m
80476,49493,1004,m
80476,12707,1004,m
6842,85732,1004,m
81323,75959,1006,r
89726,75181,1010,r
37115,79850,1012,m
37115,48092,1012,m
31910,76064,1016,r
47009,88218,1019,r
25722,88654,1020,r
64834,88405,1025,r
61875,80039,1025,r
61875,81281,1025,r
61875,82687,1025,r
68890,87475,1025,r
86337,77993,1025,r
107909,75890,1025,r
77589,87475,1026,r
68890,75120,1026,r
86337,77993,1026,r
61875,81281,1026,r
61875,80641,1026,r
61875,82687,1026,r
61875,74793,1026,r
61875,80679,1026,r
61875,0,1026,r
61875,80039,1027,r
68890,75120,1027,r
94054,84825,1027,r
107909,75890,1027,r
61875,74614,1027,r
61875,80641,1027,r
61875,87279,1027,r
86337,77946,1027,r
61875,80679,1027,r
81217,88059,1027,r
64834,88405,1027,r
61875,75120,1028,r
17533,88522,1028,r
61875,0,1028,r
61875,87475,1028,r
86337,77946,1028,r
61875,87279,1028,r
94054,88250,1028,r
61875,84326,1028,r
61875,74614,1028,r
61875,74793,1028,r
61875,75120,1029,r
61875,88067,1029,r
61875,88067,1029,r
61875,87475,1029,r
94054,84825,1029,r
61875,84326,1029,r
94054,88250,1029,r
84734,78147,1030,m
50517,84473,1030,r
81744,75959,1030,r
61875,75629,1031,r
61875,75629,1031,r
4817,75181,1034,r
64171,76064,1036,r
61875,75633,1036,r
61875,75633,1036,r
101622,75306,1038,r
84544,85039,1039,m
58651,107303,1041,r
82078,90984,1042,m
33408,76064,1044,r
80724,75306,1046,r
87944,114567,1048,m
4817,75181,1049,r
58733,75306,1050,r
101020,75014,1050,r
14800,88218,1054,r
80661,80622,1055,r
28648,78090,1056,r
55817,75181,1058,r
25722,88654,1059,r
89726,74091,1059,r
53557,79080,1059,r
87915,79080,1064,r
9791,75181,1068,r
115585,79080,1069,r
4891,88218,1070,r
16255,86363,1071,r
98610,75181,1072,r
15658,74605,1074,m
16391,75018,1075,r
112073,75306,1077,r
9153,76064,1078,r
76774,78090,1081,r
85535,76064,1082,r
26853,74973,1088,r
78147,84734,1089,m
39897,82579,1092,m
85102,75860,1093,m
85102,103265,1093,m
9008,74091,1094,r
17533,105729,1096,r
62123,78090,1096,r
94886,88059,1097,r
87177,28229,1098,m
87177,63571,1098,m
87915,79080,1098,r
22991,82573,1101,r
109681,85280,1101,r
58214,79080,1101,r
88659,31250,1104,m
65234,87944,1104,r
31250,88659,1104,r
58214,79080,1106,r
82573,22991,1109,m
31250,88659,1110,r
25846,79080,1111,r
64230,78090,1112,r
85403,79080,1115,r
67816,75306,1116,r
15269,80988,1118,r
49193,13009,1123,m
49193,79850,1123,m
88015,106348,1126,m
78526,75306,1127,r
75531,85137,1129,r
68360,82573,1130,r
17533,34004,1131,r
46199,84419,1133,m
20717,82573,1134,r
116087,88059,1141,r
107607,75153,1144,m
49141,78090,1148,r
72230,86881,1148,r
75793,112342,1148,m
57438,79080,1149,r
78130,79080,1152,r
4817,75181,1152,r
15785,74779,1154,r
79109,75306,1154,r
7582,79080,1155,r
82957,75829,1158,r
73512,79080,1159,r
21409,75306,1160,r
51936,76816,1162,r
60247,78495,1162,m
22277,82573,1164,r
95678,75306,1164,r
97500,78090,1170,r
47009,76816,1172,r
16473,79080,1172,r
37905,79080,1176,r
30456,75306,1177,r
53174,75181,1178,r
106348,88015,1180,m
17533,94137,1181,r
78834,100986,1183,m
78834,112470,1183,m
78834,38561,1183,m
83196,82573,1185,r
8936,79080,1186,r
71375,79080,1190,r
29977,76816,1192,r
114286,82573,1192,m
15605,75181,1194,r
51043,77474,1195,m
51043,20482,1195,m
51936,76816,1200,r
81485,57053,1203,m
78141,78090,1203,r
81485,18446,1203,m
81485,35932,1203,m
81485,35933,1203,m
81485,35931,1203,m
81485,52428,1203,m
80329,86881,1205,r
29977,75181,1211,r
41769,82573,1212,r
111975,84419,1213,m
105606,81733,1213,r
5670,87081,1216,r
52075,86380,1216,r
101695,82573,1217,r
58819,79080,1218,r
62634,75306,1218,r
55268,77474,1219,m
15018,78834,1220,r
91014,82573,1220,r
9879,87165,1222,r
4814,79385,1222,r
17533,107974,1223,r
84336,64301,1227,m
32159,80050,1228,r
32159,75409,1228,r
34014,82573,1228,r
32159,84332,1228,r
26779,26570,1228,m
26779,67113,1228,m
26779,81489,1228,m
76168,79080,1230,r
110427,75451,1234,r
83209,82573,1234,r
66126,79080,1236,r
15410,82573,1236,r
50096,75451,1240,r
66842,75306,1240,r
46310,78090,1241,r
15410,82573,1241,r
